city_id,ID,Station Name,City,ZIP,County,latitude,longitude,population_density,median_home_value,occupied_housing_units,median_household_income
2341,154517,TONAWANDA YPR POOL PLAZA 1,Buffalo,14223,Erie County,42.9731,-78.845,6603.0,115100.0,9832.0,57076.0
2342,180140,PANYNJ LGA WEST 5,Flushing,11371,Queens County,40.7721,-73.8735,,,,
2343,205810,Stewart's Shops - Tesla Supercharger,Hudson,12534,Columbia County,42.247,-73.7552,205.0,173700.0,7429.0,46261.0
2344,115211,"Best Western Plus, Plattsburgh - Tesla Destination",Plattsburgh,12901,Clinton County,44.6927,-73.466,440.0,134500.0,13331.0,43010.0
2345,220520,LACROIX COURT LACROIX APTS 1,Irondequoit,14609,Monroe County,43.174,-77.5637,5870.0,89100.0,17844.0,42123.0
2346,162297,OSSINING TOWN LOUIS ENGEL,Ossining,10562,Westchester County,41.1673,-73.8538,2307.0,442100.0,10746.0,74896.0
2347,65271,Tarrytown Metro North Train Station,Tarrytown,10591,Westchester County,41.0897,-73.844,2279.0,543400.0,8491.0,80814.0
2348,162394,NATIONAL GRID TONOWANDA,Tonawanda,14150,Erie County,43.0028,-78.8547,2789.0,106500.0,18637.0,51852.0
2349,227772,TPWC  TPWC 10,Altamont,12009,Albany County,42.7063,-74.0193,137.0,253900.0,2854.0,80750.0
2350,165117,Hatchet Hardware of Waterford,Waterford,12188,Saratoga County,42.81,-73.6995,846.0,222100.0,4637.0,66211.0
